Sensor: bmi160 Accelerometer Non-wakeup
Vendor: BOSCH
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
1184025566204053;-6.0990;1.1824;-8.0124;
1184025576305616;-11.9489;2.4832;-7.4997;
1184025586452751;-5.3539;1.3573;-6.6972;
1184025596554366;-3.7609;1.1130;-5.4706;
1184025606655928;-13.5802;0.8686;-9.7777;
1184025616740720;-17.8609;1.3382;-5.7939;
1184025626842334;-6.9589;-0.0105;1.0905;
1184025636943897;-6.5827;-0.5136;2.6859;
1184025647047022;-12.0565;-0.5638;1.6319;
1184025657148689;-14.2340;0.1929;2.4464;
1184025667250251;-6.3242;-0.0559;3.0909;
1184025677331709;-1.7198;-0.5303;-2.6824;
1184025687433376;-11.7811;-1.8407;-13.8479;
1184025697534939;-16.5577;-0.8536;-9.9000;
1184025707620824;-6.6093;0.3990;-1.6283;
1184025717722491;-5.4162;-1.0406;-3.2070;
1184025727824053;-3.6266;-0.6598;-4.2371;
1184025737935407;-14.0231;0.4110;-7.3199;
1184025748037022;-6.6930;-0.4370;-3.9015;
1184025758138637;-6.7696;0.2650;-6.0670;
1184025768251137;-16.4761;0.7585;-4.9771;
1184025778352751;-11.6830;0.8207;1.8978;
1184025788454314;-1.5500;2.2244;0.3817;
1184025798554262;-5.6988;1.4100;-5.3127;
1184025808655876;-18.6200;1.2374;-5.3988;
1184025818757491;-10.7366;2.0375;-1.2858;
1184025828856657;-6.0846;1.6974;-1.7671;
1184025838958272;-11.3019;0.7872;-2.2558;
1184025849059887;-5.9743;0.1786;-1.6522;
1184025859151032;-8.2765;1.3525;-4.0023;
1184025869252647;-5.4832;-0.4561;-7.4399;
1184025879354262;-10.0202;0.9260;-13.5242;
1184025889464678;-15.0748;1.0484;-3.8847;
1184025899566293;-2.0025;-0.0416;-3.2764;
1184025909667907;-10.3702;0.4660;-5.1664;
1184025919752439;-8.5280;-0.7220;-1.3552;
1184025929854001;-9.0048;0.4277;-3.3003;
1184025939955668;-5.1885;1.2302;-3.4202;
1184025950085772;-5.1168;0.9523;-8.4841;
1184025960187387;-17.6644;0.2722;-12.9685;
1184025970289001;-15.6186;0.5429;-0.4137;
1184025980381137;-0.4576;1.2254;4.1689;
1184025990482751;-4.7240;-0.0778;-1.4773;
1184026000584366;-13.7357;0.5118;-4.1339;
1184026010671032;-9.7208;0.6075;-6.9727;
1184026020772647;-6.4271;0.3511;-3.9855;
1184026030874262;-8.2023;1.1345;-6.2779;
1184026040998220;-9.9652;0.4277;-4.8909;
1184026051099834;-9.5390;1.4243;-5.5810;
1184026061201449;-9.1268;0.7561;-2.0210;
1184026071296866;-11.4075;0.2865;0.1062;
1184026081398480;-10.5568;-0.0320;-1.6211;
1184026091500095;-12.1666;-1.3543;1.8763;
1184026101604887;-6.2402;-0.2668;1.8260;
1184026111706501;-7.1073;-0.6431;-1.0917;
1184026121808116;-9.7519;-1.7761;-3.7866;
1184026131910407;-11.1030;-1.5772;-6.5916;
1184026142012022;-10.5927;-1.9750;-6.4217;
1184026152113637;-9.3066;0.3727;-6.4720;
1184026162206032;-6.6882;0.5692;-3.2070;
1184026172307647;-3.2602;0.2770;-3.4490;
1184026182409262;-11.9943;-0.4848;-4.8335;
1184026192517387;-16.0116;-1.0095;0.3625;
1184026202619001;-10.0971;-0.5542;1.2799;
1184026212720616;-2.0240;-0.0392;1.6582;
1184026222804105;-9.1484;-0.4011;-3.3553;
1184026232905668;-14.7658;-0.0416;-2.4811;
1184026243007282;-4.4411;0.4181;-2.6417;
1184026253119366;-5.0163;-0.8106;-5.5161;
1184026263220980;-15.8797;-1.6732;-8.7236;
1184026273322595;-11.5654;-0.7292;-4.9364;
1184026283426189;-1.3726;1.3047;-1.8105;
1184026293527803;0.6108;-0.5327;-2.9865;
1184026303629418;-13.1991;-0.8393;-6.6709;
1184026313701762;-25.9816;-0.3461;-5.4227;
1184026323803376;-18.4334;2.5549;2.4775;
