Sensor: mmc5603x Magnetometer Non-wakeup
Vendor: memsic
TimestampMag [ns]; MagX [uT]; MagY [uT]; MagZ [uT]
7385889223253;35.5860;19.5054;13.8826;
7385899223253;35.5837;19.4291;14.0831;
7385909223253;35.8712;19.4447;13.1233;
7385919223253;35.8894;19.8293;13.2760;
7385929223253;36.2835;20.0057;12.6862;
7385939223253;35.7891;19.8219;12.7938;
7385949223253;36.0933;20.0711;12.9652;
7385959223253;36.2919;20.1600;12.9590;
7385969223253;36.3908;20.2419;12.5670;
7385979223253;36.4818;20.1697;11.9983;
7385989223253;36.5752;20.0234;12.4965;
7385999223253;35.8034;20.1294;12.8582;
7386009223253;36.0033;20.1439;13.7263;
7386019223253;36.4913;20.3245;12.4637;
7386029223253;37.0811;20.5133;11.9720;
7386039223253;36.1112;20.5307;12.4361;
7386049223253;36.4913;20.4748;11.1964;
7386059223253;36.5887;20.4056;11.7828;
7386069223253;36.7063;20.8723;11.6397;
7386079223253;36.1028;20.3763;12.1632;
7386089223253;35.7192;20.5056;12.1436;
7386099223253;34.6631;20.5975;14.0426;
7386109223253;34.8591;20.6852;13.5552;
7386119223253;35.4528;20.9510;13.1518;
7386129223253;35.2468;20.7082;13.0776;
7386139223253;35.4370;20.6428;12.7987;
7386149223253;36.1181;20.6843;12.4201;
7386159223253;35.2468;20.7082;13.0776;
7386169223253;35.9308;20.8262;12.5948;
7386179223253;35.5341;20.6486;12.7033;
7386189223253;35.9155;20.5183;12.3380;
7386199223253;35.9155;20.5183;12.3380;
7386209223253;36.4309;21.1631;12.2788;
7386219223253;35.8379;20.9728;12.1929;
7386229223253;37.4976;21.2266;11.0377;
7386239223253;37.4365;20.6389;13.2700;
7386249223253;37.8356;20.8929;12.9610;
7386259223253;37.2378;20.5500;13.2761;
7386269223253;37.6306;20.6506;13.0793;
7386279223253;37.0440;20.6136;12.8812;
7386289223253;35.9783;20.5506;14.3149;
7386299223253;36.0741;20.4807;14.6126;
7386309223253;36.5652;20.5125;15.1948;
7386319223253;36.2798;20.7985;14.0050;
7386329223253;36.5821;20.9716;14.4732;
7386339223253;36.6731;20.8994;13.9045;
7386349223253;35.7984;20.8465;14.5700;
7386359223253;36.6657;20.7455;13.8242;
7386369223253;36.5660;20.7384;13.4382;
7386379223253;37.5562;21.2569;12.2446;
7386389223253;37.4502;21.0965;11.9708;
7386399223253;36.9735;21.2970;12.1348;
7386409223253;37.6557;21.3391;11.9487;
7386419223253;37.4557;21.1743;12.3479;
7386429223253;36.4022;21.4178;13.4609;
7386439223253;36.5995;21.5812;12.5805;
7386449223253;36.9970;21.6841;13.2501;
7386459223253;36.4969;21.3473;13.5661;
7386469223253;36.7820;21.2867;12.8067;
7386479223253;37.1948;21.8478;12.4659;
7386489223253;36.7066;21.7422;13.0468;
7386499223253;34.4800;21.6864;15.7127;
7386509223253;33.5514;21.5468;14.8932;
7386519223253;35.2248;22.2581;12.4387;
7386529223253;35.1248;22.1757;12.6383;
7386539223253;35.1145;21.9453;12.6622;
7386549223253;35.7985;22.0634;12.1794;
7386559223253;35.1185;22.0224;12.7505;
7386569223253;34.6350;22.0693;12.9304;
7386579223253;35.4197;22.1950;13.0261;
7386589223253;35.6993;22.0565;11.8897;
7386599223253;35.3029;21.8039;12.6800;
7386609223253;35.4078;21.9638;12.7612;
7386619223253;34.7360;22.1522;12.9234;
7386629223253;34.5411;22.0650;13.6033;
7386639223253;35.1116;21.8688;12.7664;
7386649223253;35.1955;21.5676;12.7992;
7386659223253;34.6363;21.9948;13.8047;
7386669223253;33.7624;21.8671;15.2482;
7386679223253;34.3330;21.6709;14.4113;
7386689223253;34.8233;21.7776;14.2155;
7386699223253;35.2124;21.8764;13.3449;
7386709223253;35.3876;21.4279;13.4908;
7386719223253;35.1918;21.4155;13.3927;
7386729223253;35.4967;21.5899;14.3421;
7386739223253;35.5827;21.4401;13.4927;
7386749223253;35.2873;21.2703;14.2759;
7386759223253;35.3836;21.2006;14.6699;
7386769223253;35.1003;21.3372;15.1324;
7386779223253;34.8107;21.3205;15.7072;
7386789223253;34.8196;21.4752;16.0763;
7386799223253;33.8429;21.1886;17.8236;
