Sensor: bmi160 Accelerometer Non-wakeup
Vendor: BOSCH
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
687908234628050;-9.9485;-0.0897;-3.2333;
687908239681800;-9.2898;0.0541;-3.4609;
687908244740654;-9.2130;-0.4226;-2.4476;
687908249796695;-9.6395;0.0996;-2.4093;
687908254860550;-13.2518;3.2330;-4.2275;
687908259901643;-9.9485;2.6366;-0.3491;
687908264959091;-5.5935;-2.4203;-5.8325;
687908270011070;-6.0751;-0.6933;-1.6857;
687908275071175;-7.6944;-0.2429;1.7638;
687908280126904;-10.1234;-0.2596;0.4128;
687908285179091;-9.4669;-1.0023;-3.4657;
687908290231487;-10.6337;-0.0224;-3.5830;
687908295300706;-12.5740;-0.5806;-3.0416;
687908300335550;-12.2243;-0.1017;-3.1325;
687908305401904;-10.7366;0.2746;-4.1865;
687908310444925;-8.0584;-0.7651;-4.0502;
687908315498675;-8.6022;0.5309;-2.5337;
687908320560654;-8.0847;0.9428;-3.3529;
687908325614820;-7.9241;0.2435;-2.1218;
687908330668050;-8.7556;0.9523;-1.5012;
687908335720133;-8.6979;0.6386;-1.6092;
687908340778570;-9.7376;0.3751;-1.4653;
687908345825341;-10.8180;0.8638;-1.3313;
687908350879143;-11.1293;0.4711;-1.8870;
687908355948622;-10.9834;-0.0344;-1.7264;
687908360996695;-10.5784;0.0996;-1.3385;
687908366044612;-9.5510;-0.3939;-1.8464;
687908371098466;-9.3233;-0.2740;-2.0812;
687908376153987;-8.8202;-0.1926;-2.5409;
687908381206904;-8.7027;0.0565;-3.2501;
687908386252737;-8.7724;0.3655;-3.2309;
687908391311695;-8.6668;0.6099;-2.8570;
687908396354820;-8.9638;0.6266;-2.2152;
687908401422320;-9.6921;0.7080;-1.8607;
687908406480445;-10.3534;0.5501;-1.6810;
687908411529716;-11.0073;0.3942;-1.7767;
687908416599820;-10.9140;0.0087;-1.5757;
687908421654195;-10.6648;-0.2453;-1.3193;
687908426708622;-9.9772;-0.3194;-1.5278;
687908431762997;-9.5725;-0.2333;-1.3648;
687908436817425;-9.1125;-0.1232;-1.6546;
687908441871800;-8.9518;0.0494;-1.8775;
687908446914508;-8.6955;-0.0440;-2.0091;
687908451968883;-8.6907;0.0685;-2.3901;
687908457023310;-8.8274;0.0948;-2.7972;
687908462077685;-9.1436;0.2315;-3.0105;
687908467132112;-9.5677;0.2052;-3.1376;
687908472186487;-9.7352;-0.0033;-2.8570;
687908477230862;-9.8886;-0.4011;-1.9540;
687908482285237;-9.8886;-0.8827;-1.3146;
687908487339664;-10.0250;-1.4360;-0.8282;
687908492394039;-10.2646;-1.5724;-0.8282;
687908497448466;-10.2120;-1.5365;-1.1563;
687908502502841;-9.9437;-1.3184;-1.2233;
687908507564925;-9.4023;-1.1749;-1.3696;
687908512619300;-9.0311;-0.9903;-1.2090;
687908517673727;-8.8777;-0.6885;-1.4198;
687908522728102;-9.1531;-0.2955;-1.9134;
687908527782529;-9.3640;0.0494;-2.5026;
687908532836904;-9.3736;0.4926;-3.1711;
687908537884091;-9.6969;0.9667;-4.2299;
687908542938466;-10.4061;1.5538;-5.5929;
687908547992893;-10.9977;1.9346;-6.6996;
687908553047268;-10.7868;1.8485;-6.3739;
687908558101643;-9.9054;1.2230;-4.4094;
687908563156070;-8.7171;0.2578;-1.8703;
687908568211904;-7.9579;-0.6311;0.6066;
687908573266279;-8.0536;-1.0525;1.4859;
687908578320706;-9.3592;-0.7029;0.8701;
687908583375081;-10.9499;-0.1184;-0.8402;
687908588429508;-11.6925;0.3105;-2.2056;
687908593483883;-11.5152;0.2794;-1.9875;
687908598537320;-10.3965;-0.1328;-1.0965;
687908603591747;-9.1890;-0.5710;0.1612;
687908608646122;-8.5256;-0.7101;0.5827;
687908613700497;-8.7413;-0.2740;-0.5001;
687908618754925;-9.4597;0.3966;-2.0450;
687908623809300;-9.9556;0.8997;-3.1110;
687908628855393;-9.9963;0.8542;-3.4370;
687908633909768;-9.5462;0.4086;-2.4188;
687908638964195;-9.1531;-0.1400;-0.9598;
687908644018570;-9.0766;-0.5016;-0.1717;
687908649072997;-9.5052;-0.3891;-0.2294;
687908654127372;-10.2239;0.0829;-1.2691;
687908659183310;-10.7701;0.5548;-2.2343;
687908664237737;-10.6217;0.7681;-2.5193;
687908669292112;-9.9532;0.5907;-2.0186;
687908674346487;-9.1005;0.2626;-1.0534;
687908679400862;-8.6501;0.0589;-0.5240;
687908684455289;-8.7963;0.1857;-0.7971;
687908689503414;-9.4047;0.6075;-1.8081;
687908694557789;-10.0011;0.9452;-2.6847;
687908699612216;-10.1904;0.9667;-2.7924;
687908704666591;-9.8456;0.6864;-2.0812;
687908709721018;-9.3832;0.3511;-1.0822;
687908714775393;-9.2345;0.2267;-0.6173;
687908719834872;-9.6419;0.3535;-0.8426;
687908724889247;-10.0804;0.6697;-1.6020;
687908729943675;-10.3654;0.9547;-2.2343;
687908734998050;-10.1880;0.9093;-2.2271;
687908740052477;-9.6634;0.5764;-1.5781;
687908745106852;-9.1890;0.1618;-0.9215;
687908750155393;-9.0503;-0.1256;-0.6317;
687908755209768;-9.3975;-0.0607;-1.0510;
687908760264195;-9.8910;0.5166;-1.9086;
687908765318570;-10.1521;1.0627;-2.8717;
687908770372997;-9.9245;0.8686;-2.7159;
687908775427372;-9.5366;0.4301;-1.5084;
687908780482008;-9.2584;0.4950;-1.3313;
687908785536383;-9.2946;0.8016;-1.8224;
687908790590810;-9.5462;0.8901;-2.0139;
687908795645185;-9.7352;0.7319;-1.8081;
687908800699612;-9.8336;0.6482;-1.7456;
687908805753987;-9.7089;0.6027;-1.7815;
687908810808727;-9.5605;0.5333;-1.6810;
687908815863102;-9.4382;0.4516;-1.5661;
687908820917529;-9.4837;0.3918;-1.7862;
687908825971904;-9.6299;0.3511;-2.0644;
687908831026331;-9.7615;0.3320;-2.2606;
687908836080706;-9.8121;0.3655;-2.3758;
687908841131487;-9.7208;0.4807;-2.5504;
687908846185862;-9.6275;0.4445;-2.4954;
687908851240289;-9.4837;0.4493;-2.1817;
687908856294664;-9.4645;0.5237;-2.1194;
687908861349091;-9.4717;0.6458;-2.2128;
687908866403466;-9.5148;0.8542;-2.3590;
687908871453310;-9.6012;0.9643;-2.4452;
687908876507685;-9.5076;0.9428;-2.4093;
687908881562112;-9.3927;0.9404;-2.2128;
687908886616487;-9.3114;0.9165;-2.0163;
687908891670914;-9.3640;0.9284;-1.9708;
687908896725289;-9.5390;1.0220;-2.1075;
687908901780654;-9.7687;1.1465;-2.3399;
687908906835029;-9.9078;1.2661;-2.5170;
687908911889456;-9.8336;1.3382;-2.5122;
687908916943831;-9.6036;1.2709;-2.2893;
687908921998258;-9.4214;1.1847;-2.0644;
687908927052633;-9.3497;1.1201;-1.9588;
687908932112216;-9.5052;1.0507;-2.0545;
687908937166591;-9.6682;0.9882;-2.1793;
687908942221018;-9.5892;0.8758;-2.1099;
687908947275393;-9.5124;0.7585;-1.9732;
687908952329820;-9.4382;0.7705;-1.8631;
687908957384195;-9.4621;0.8734;-1.9134;
687908962417893;-9.5677;0.8925;-2.0521;
687908967472268;-9.6443;1.0507;-2.2702;
687908972526695;-9.7448;1.0747;-2.3853;
687908977581070;-9.7208;0.9093;-2.2247;
687908982635445;-9.5100;0.5812;-1.7743;
687908987689872;-7.4429;5.0007;-6.4505;
687908992738779;-9.9030;0.6936;-1.1013;
687908997793154;-9.8456;5.5134;-5.7437;
687909002847581;-10.2000;-3.8435;0.9948;
687909007901956;-9.8958;-1.0358;2.2525;
687909012956331;-10.6074;-1.4886;0.5133;
687909018010758;-11.0169;-0.1567;1.1770;
687909023085029;-10.7222;-0.3628;0.2856;
687909028139404;-9.5052;-0.2094;-1.3816;
687909033193831;-9.2273;-0.3218;-0.3251;
687909038248206;-8.6740;-0.0802;-0.5958;
687909043302633;-8.6931;0.6218;-3.1158;
687909048357008;-8.9686;1.0364;-4.1961;
687909053382008;-9.4549;1.8700;-4.4405;
687909058436383;-9.7376;1.9322;-5.2887;
687909063490810;-9.6706;1.6232;-4.1243;
687909068583206;-9.6873;0.6888;-2.5911;
687909073637529;-9.6347;0.1762;-1.3026;
687909078691956;-9.7950;-0.0607;-0.1262;
687909083746331;-10.0011;0.2626;0.2809;
687909088800758;-9.9580;0.9069;0.0245;
687909093855133;-9.9317;1.5706;-0.2677;
687909098895445;-9.5486;1.9226;-0.7011;
687909103949820;-9.1675;2.2005;-1.1252;
687909109004247;-9.0814;2.3683;-1.3720;
687909114058622;-9.2584;2.4568;-1.8679;
687909119112997;-9.4478;2.4784;-2.5911;
687909124167425;-9.7208;2.5190;-3.1134;
687909129214612;-10.0059;2.3249;-3.2979;
687909134268987;-9.7950;1.9753;-2.9459;
687909139323414;-9.5964;1.5033;-2.0545;
687909144384508;-9.3784;1.0747;-1.3385;
687909149438883;-9.4071;0.5859;-0.8856;
687909154493258;-9.5028;0.3176;-0.8186;
687909159547633;-9.8815;0.1857;-0.6293;
687909164602060;-10.0561;0.1307;-0.5192;
687909169656435;-9.9724;-0.0105;-0.3754;
687909174723206;-9.7424;-0.0897;-0.3323;
687909179777581;-9.7448;0.0924;-0.6843;
687909184832008;-9.6706;0.3368;-1.4079;
687909189886383;-9.6921;0.7343;-2.0569;
687909194940810;-9.7041;0.9619;-2.4380;
687909199995185;-9.6873;0.9954;-2.5481;
687909205028570;-9.5557;0.6912;-2.1362;
687909210082945;-9.5342;0.4445;-1.6810;
687909215137372;-9.5124;0.2602;-1.4414;
687909220191747;-9.7017;0.3224;-1.2568;
687909225246175;-9.7113;0.4181;-1.2544;
687909230300550;-9.9269;0.7104;-1.1803;
687909235358675;-9.9963;0.9021;-1.4701;
687909240413050;-9.9796;0.8782;-1.4605;
687909245467477;-9.8216;0.8638;-1.4366;
687909250521852;-9.9485;0.7104;-1.1372;
687909255576279;-9.8240;0.6793;-1.5132;
687909260630654;-9.4693;1.0220;-1.8966;
687909265690289;-9.2154;0.8590;-1.5446;
687909270744664;-8.7772;0.6218;-0.6437;
687909275799091;-8.9853;0.7729;-1.1109;
687909280853466;-9.5677;1.3645;-3.1854;
687909285907893;-9.6491;1.5200;-4.5485;
687909290962268;-9.7208;1.2784;-4.3543;
687909296010966;-9.7663;0.5453;-2.8693;
687909301065341;-9.7304;0.2363;-1.6714;
687909306119768;-9.9269;0.1140;-1.3385;
687909311174143;-10.3750;0.2698;-1.0582;
687909316228570;-10.1928;0.0541;-0.9191;
687909321282945;-9.8527;-0.3748;-0.5408;
687909326337633;-9.5028;-0.5710;-0.1813;
687909331392008;-9.0311;-0.4035;-0.3443;
687909336446435;-8.8609;-0.0105;-0.8665;
687909341500810;-8.8777;0.6984;-1.3241;
687909346555237;-9.1771;1.7501;-1.8846;
687909351609612;-9.7256;2.6462;-2.5217;
687909356648883;-10.1474;2.5454;-2.4236;
687909361703258;-10.2909;1.7213;-1.5517;
687909366757685;-10.3029;1.2159;-1.1563;
687909371812060;-10.1545;1.0747;-1.4533;
687909376866487;-9.8192;1.0125;-1.5470;
687909381920862;-9.4837;1.0484;-1.4486;
687909386959716;-9.2178;1.2135;-1.4821;
687909392014091;-9.1101;1.1776;-1.2233;
687909397068518;-9.1819;0.9571;-0.7780;
687909402122893;-9.3832;0.8423;-0.5838;
687909407177320;-9.5773;0.8016;-0.7780;
687909412231695;-9.7328;0.8255;-0.9383;
687909417306227;-9.9245;0.8112;-1.3289;
687909422360602;-9.9102;1.0603;-1.1420;
687909427415029;-10.0298;1.2685;-1.2787;
687909432469404;-10.1809;1.4506;-1.5733;
687909437523779;-9.7567;1.1154;-0.9837;
687909442578206;-9.3975;0.9930;-0.9048;
687909447634404;-9.4813;1.3860;-1.3409;
687909452688779;-9.3712;1.7524;-1.1898;
687909457743206;-9.2970;2.0040;-1.1324;
687909462797581;-9.5004;2.0399;-1.1133;
687909467852008;-9.6084;2.0207;-0.3921;
687909472906383;-9.6682;2.2292;-0.0233;
687909477984612;-9.8647;2.3970;-0.1884;
687909483039039;-9.9556;2.5549;0.2833;
687909488093414;-9.9461;2.1311;-0.1935;
687909493147841;-9.7328;2.6844;-0.3156;
687909498202216;-9.5462;2.6438;-0.6365;
687909503256591;-9.4167;2.1335;-0.5934;
687909508281227;-9.2731;2.1742;-0.0281;
687909513335602;-9.4573;2.2555;-0.5719;
687909518390029;-9.6538;2.6533;-0.1935;
687909523444404;-9.4837;2.9647;-0.1382;
687909528498831;-9.8839;2.4090;-0.2557;
687909533553206;-10.0418;2.1239;0.2163;
687909538599091;-9.7519;2.3010;0.0846;
687909543653466;-9.5195;2.4090;-0.5838;
