Sensor: bmi160 Gyroscope Non-wakeup
Vendor: BOSCH
TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
258614864428888;0.0730;0.0242;0.2148;
258614869489930;0.0730;0.0232;0.2190;
258614874535867;0.0772;0.0242;0.2222;
258614879627846;0.0826;0.0253;0.2276;
258614884639200;0.0921;0.0253;0.2340;
258614889692169;0.1039;0.0328;0.2425;
258614894751700;0.1124;0.0360;0.2478;
258614899812378;0.1209;0.0338;0.2499;
258614904861700;0.1262;0.0274;0.2585;
258614909909409;0.1294;0.0210;0.2638;
258614914967221;0.1465;0.0104;0.2563;
258614920035919;0.1124;-0.0706;0.2265;
258614925077430;-0.0964;0.0072;0.2883;
258614930126857;-0.0953;0.1915;0.3043;
258614935186180;-0.0964;-0.1100;0.2659;
258614940274461;-0.0666;-0.1696;0.2755;
258614945293263;0.0410;0.1553;0.3234;
258614950379357;0.0911;0.1457;0.3373;
258614955403680;0.1635;0.0285;0.3224;
258614960476023;0.1571;0.0360;0.3479;
258614965511700;0.1443;0.1148;0.3650;
258614970596857;0.1816;0.0626;0.3650;
258614975622846;0.2337;0.0509;0.3831;
258614980691648;0.2742;0.1734;0.4172;
258614985731023;0.2656;0.1616;0.4300;
258614990784825;0.2209;0.0413;0.4300;
258614995839773;0.1656;0.0232;0.4565;
258615000909357;0.1230;0.0796;0.4820;
258615005961336;0.0964;0.0328;0.4927;
258615011017169;0.1241;-0.0162;0.5086;
258615016075398;0.1889;0.0487;0.5395;
258615021127690;0.2497;0.1212;0.5694;
258615026180711;0.2933;0.1052;0.5875;
258615031233419;0.3083;0.0722;0.6056;
258615036289669;0.3093;0.0903;0.6237;
258615041344253;0.2923;0.0988;0.6375;
258615046396909;0.2539;0.1052;0.6557;
258615051453419;0.2081;0.1318;0.6716;
258615056503315;0.1497;0.1265;0.6812;
258615061552846;0.0783;0.1084;0.6972;
258615066600607;0.0037;0.1190;0.7121;
258615071648367;-0.0687;0.1020;0.7292;
258615076696128;-0.1103;0.0967;0.7430;
258615081743888;-0.1262;0.1276;0.7611;
258615086791648;-0.1316;0.1585;0.7792;
258615091870190;-0.1369;0.1734;0.7941;
258615096917950;-0.1603;0.1776;0.8069;
258615101965711;-0.1859;0.1893;0.8250;
258615107013471;-0.2008;0.1851;0.8367;
258615112061232;-0.1997;0.1616;0.8421;
258615117108992;-0.2104;0.1787;0.8548;
258615122184148;-0.2232;0.2106;0.8580;
258615127231909;-0.2359;0.1435;0.8378;
258615132279669;-0.1891;0.2160;0.8708;
258615137327430;-0.2935;0.2755;0.9294;
258615142375190;-0.5373;0.1755;0.9763;
258615147422950;-0.7130;0.0200;0.9912;
258615152522534;-0.7525;-0.0514;0.9976;
258615157570294;-0.6172;0.1201;1.0146;
258615162618055;-0.4371;0.2957;1.0402;
258615167665815;-0.3467;0.3394;1.0455;
258615172713575;-0.3947;0.2851;1.0497;
258615177761336;-0.5138;0.1680;1.0592;
258615182847638;-0.6055;0.0818;1.0678;
258615187895398;-0.6097;0.1329;1.0912;
258615192943159;-0.5373;0.2979;1.1264;
258615197990919;-0.4393;0.4023;1.1594;
258615203038680;-0.3766;0.3746;1.1807;
258615208086440;-0.3851;0.3075;1.1892;
258615213170763;-0.4499;0.2607;1.2041;
258615218218523;-0.5234;0.1968;1.2158;
258615223266284;-0.5618;0.1382;1.2297;
258615228314044;-0.5447;0.1563;1.2499;
258615233361805;-0.5128;0.2320;1.2712;
258615238409565;-0.4734;0.2872;1.2904;
258615243496284;-0.4478;0.2787;1.3032;
258615248544044;-0.4531;0.2415;1.3096;
258615253591805;-0.4648;0.2117;1.3170;
258615258639565;-0.4723;0.1925;1.3245;
258615263687325;-0.4659;0.2043;1.3319;
258615268735138;-0.4542;0.2415;1.3437;
258615273838784;-0.4467;0.2682;1.3511;
258615278886544;-0.4435;0.2618;1.3564;
258615283934305;-0.4510;0.2362;1.3586;
258615288982065;-0.4830;0.2213;1.3596;
258615294029825;-0.5351;0.2181;1.3575;
258615299077586;-0.5905;0.2106;1.3511;
258615304146023;-0.6257;0.2032;1.3426;
258615309193784;-0.6278;0.2149;1.3383;
258615314241544;-0.6055;0.2266;1.3383;
258615319289305;-0.5841;0.2266;1.3351;
258615324337065;-0.5916;0.2245;1.3341;
258615329384825;-0.6246;0.2075;1.3319;
258615334475346;-0.6672;0.1872;1.3319;
258615339523107;-0.6896;0.1766;1.3298;
258615344570867;-0.6779;0.1830;1.3287;
258615349618628;-0.6481;0.2021;1.3309;
258615354666388;-0.6225;0.2181;1.3298;
258615359714148;-0.6289;0.2128;1.3234;
258615364794096;-0.6566;0.1904;1.3181;
258615369841857;-0.6768;0.1627;1.3096;
258615374919773;-0.6651;0.1499;1.3106;
258615379967482;-0.6225;0.1702;1.3160;
258615385015242;-0.5660;0.2117;1.3192;
258615390063055;-0.5447;0.2266;1.3213;
258615395110815;-0.5724;0.2021;1.3181;
258615400158575;-0.6108;0.1659;1.3128;
258615405232273;-0.6353;0.1425;1.3064;
258615410280034;-0.6406;0.1531;1.3010;
258615415327794;-0.6406;0.1830;1.3000;
258615420375555;-0.6576;0.1979;1.2957;
258615425423315;-0.6864;0.1936;1.2872;
258615430471075;-0.7194;0.1585;1.2819;
258615435562273;-0.7471;0.1499;1.2744;
258615440610034;-0.7642;0.1638;1.2691;
258615445657794;-0.7695;0.1393;1.2606;
258615450705555;-0.7599;0.1457;1.2574;
258615455791440;-0.7418;0.1766;1.2574;
258615460839200;-0.7354;0.1776;1.2531;
258615465886961;-0.7546;0.1648;1.2489;
258615470934721;-0.7897;0.1297;1.2414;
258615475982482;-0.8185;0.1212;1.2286;
258615481030242;-0.8196;0.1435;1.2180;
258615486118940;-0.8153;0.1499;1.2116;
258615491166700;-0.8153;0.1329;1.1967;
258615496214461;-0.8196;0.1212;1.1849;
258615501262221;-0.8196;0.0892;1.1754;
258615506309982;-0.8004;0.1126;1.1647;
258615511357742;-0.7780;0.1478;1.1615;
258615516445711;-0.7823;0.1340;1.1519;
258615521523992;-0.8078;0.1052;1.1381;
258615526571648;-0.8409;0.0668;1.1242;
258615531619461;-0.8462;0.0658;1.1136;
258615536667221;-0.8260;0.0807;1.1008;
258615541714982;-0.7929;0.0860;1.0901;
258615546762742;-0.7556;0.0881;1.0795;
258615551810503;-0.7301;0.0786;1.0699;
258615556856388;-0.7152;0.0636;1.0571;
258615561904096;-0.7066;0.0626;1.0477;
258615566951857;-0.7024;0.0690;1.0391;
258615571999617;-0.6960;0.0647;1.0274;
258615577047378;-0.6864;0.0541;1.0125;
258615582095138;-0.6672;0.0477;1.0019;
258615587142898;-0.6385;0.0455;0.9891;
258615592251388;-0.6044;0.0477;0.9805;
258615597299148;-0.5671;0.0562;0.9720;
258615602346909;-0.5383;0.0551;0.9667;
258615607394669;-0.5234;0.0466;0.9571;
258615612442430;-0.5149;0.0370;0.9529;
258615617490190;-0.5096;0.0317;0.9475;
258615622577534;-0.5096;0.0360;0.9401;
258615627625294;-0.5085;0.0423;0.9358;
258615632673055;-0.5138;0.0370;0.9315;
258615637720815;-0.5181;0.0338;0.9241;
258615642768575;-0.5256;0.0285;0.9188;
258615647816336;-0.5256;0.0274;0.9124;
258615652903003;-0.5181;0.0274;0.9081;
258615657950763;-0.5043;0.0221;0.8996;
258615662998523;-0.4893;0.0317;0.9007;
258615668046284;-0.4744;0.0349;0.8975;
258615673094044;-0.4606;0.0264;0.8943;
258615678141805;-0.4425;0.0285;0.8921;
258615683225971;-0.4202;0.0338;0.8900;
258615688273732;-0.4000;0.0413;0.8889;
258615693321492;-0.3861;0.0370;0.8836;
258615698369253;-0.3787;0.0296;0.8772;
258615703417013;-0.3787;0.0221;0.8730;
258615708464773;-0.3702;0.0168;0.8666;
258615713546388;-0.3585;0.0168;0.8591;
258615718594148;-0.3574;0.0221;0.8548;
258615723641909;-0.3627;0.0264;0.8474;
258615728689669;-0.3787;0.0189;0.8378;
258615733737430;-0.4000;0.0051;0.8293;
258615738785242;-0.4202;-0.0003;0.8208;
258615743883784;-0.4371;0.0008;0.8133;
258615748931544;-0.4478;0.0008;0.8090;
258615753979305;-0.4499;0.0019;0.8048;
258615759027065;-0.4499;0.0008;0.8005;
258615764074825;-0.4510;0.0019;0.7941;
258615769122586;-0.4361;-0.0003;0.7877;
258615774214200;-0.4192;-0.0099;0.7803;
258615779261961;-0.4032;-0.0056;0.7739;
258615784309721;-0.3787;-0.0013;0.7718;
258615789357482;-0.3521;-0.0077;0.7664;
258615794405242;-0.3233;-0.0056;0.7622;
258615799453003;-0.2956;0.0040;0.7579;
258615804538523;-0.2700;0.0083;0.7547;
258615809586284;-0.2530;0.0083;0.7494;
258615814634044;-0.2487;0.0029;0.7419;
258615819681805;-0.2445;-0.0024;0.7355;
258615824729565;-0.2338;-0.0024;0.7313;
258615829777325;-0.2146;0.0008;0.7281;
258615834847638;-0.2019;0.1393;0.7600;
258615839895398;-0.0740;0.3799;1.0349;
258615844943159;0.0005;-0.3623;0.7174;
258615849990919;-0.4297;-0.0099;0.5907;
258615855038680;-0.6225;0.1542;0.7973;
258615860086440;-0.3126;-0.2378;0.6695;
258615865175555;-0.1656;-0.0823;0.5949;
258615870223315;-0.2722;0.2607;0.6333;
258615875271075;-0.3616;0.0754;0.7036;
258615880318836;-0.3148;-0.1068;0.6503;
258615885366596;-0.3616;0.2106;0.6152;
258615890414357;-0.4574;0.0200;0.5555;
258615895498680;-0.4989;-0.2410;0.5726;
258615900546440;-0.4245;-0.0184;0.6610;
258615905594200;-0.2700;0.3224;0.6184;
258615910641961;-0.1582;0.2426;0.5640;
258615915689721;-0.2498;-0.1451;0.5118;
258615920737482;-0.4563;-0.1632;0.5449;
258615925831180;-0.4478;0.1020;0.5566;
258615930878940;-0.2168;0.0977;0.4948;
258615935926700;-0.1071;0.0391;0.4671;
258615940974461;-0.2125;0.1286;0.4778;
258615946022221;-0.3180;0.1340;0.4799;
258615951069982;-0.3201;-0.0045;0.4289;
258615956146961;-0.3180;-0.0759;0.3948;
258615961194721;-0.3297;0.0317;0.4118;
258615966242482;-0.2743;0.1734;0.4321;
258615971290242;-0.1869;0.1414;0.4087;
258615976338003;-0.2232;0.0732;0.3703;
258615981385763;-0.3574;0.0083;0.3639;
258615986486284;-0.4224;-0.0141;0.3607;
258615991534044;-0.3510;0.0093;0.3501;
258615996581805;-0.2530;0.0881;0.3277;
258616001629565;-0.2210;0.1201;0.3192;
258616006677325;-0.2423;0.0956;0.3117;
258616011725086;-0.2818;0.0274;0.2883;
258616016820815;-0.3020;0.0051;0.2638;
258616021868575;-0.2892;0.0146;0.2510;
258616026916336;-0.2434;0.0402;0.2489;
258616031964096;-0.1848;0.0818;0.2318;
258616037011857;-0.1699;0.0839;0.2116;
258616042059617;-0.2029;0.0189;0.1924;
258616047171648;-0.2349;-0.0248;0.1796;
258616052219409;-0.2114;-0.0056;0.1711;
258616057267221;-0.1433;0.0413;0.1519;
258616062314930;-0.0794;0.0413;0.1402;
258616067362690;-0.0602;0.0381;0.1274;
258616072410450;-0.0730;-0.0109;0.1008;
258616077458055;-0.1071;-0.0024;0.0731;
258616082505815;-0.0804;0.1031;0.0816;
258616087553575;0.0368;0.0349;0.0529;
258616092601336;0.0591;-0.1025;-0.0036;
258616097649096;-0.0613;-0.0493;-0.0025;
258616102696857;-0.0943;0.0317;0.0156;
258616107781388;0.0154;0.0115;-0.0206;
258616112829148;0.0783;-0.0216;-0.0622;
258616117876909;0.0559;-0.0173;-0.0718;
258616122924669;0.0346;0.0083;-0.0728;
258616127972430;0.0229;-0.0226;-0.0963;
258616133020190;0.0005;-0.0493;-0.1197;
258616138104200;0.0027;-0.0301;-0.1293;
258616143151961;0.0410;-0.0045;-0.1431;
258616148199721;0.0698;0.0210;-0.1623;
258616153247482;0.0538;0.0051;-0.1877;
258616158295242;0.0218;-0.0354;-0.2037;
258616163343003;-0.0005;-0.0450;-0.2208;
258616168431700;-0.0080;-0.0120;-0.2421;
258616173516492;0.0037;0.0019;-0.2676;
258616178564253;0.0091;-0.0162;-0.2921;
258616183632482;-0.0037;-0.0205;-0.3092;
258616188680242;-0.0112;-0.0109;-0.3241;
258616193728003;0.0005;-0.0109;-0.3454;
258616198775815;0.0176;-0.0354;-0.3688;
258616203823575;0.0304;-0.0280;-0.3880;
258616208871336;0.0325;0.0029;-0.4061;
258616213925867;0.0261;-0.0088;-0.4317;
258616218973628;0.0186;-0.0439;-0.4583;
258616224021388;0.0186;-0.0407;-0.4786;
258616229069148;0.0261;-0.0130;-0.5031;
258616234116909;0.0336;-0.0216;-0.5318;
258616239164669;0.0336;-0.0535;-0.5616;
258616244249773;0.0186;-0.0503;-0.5829;
258616249297534;0.0123;-0.0312;-0.6064;
258616254345294;0.0176;-0.0375;-0.6383;
258616259393055;0.0250;-0.0567;-0.6692;
258616264440815;0.0261;-0.0557;-0.7012;
258616269488575;0.0186;-0.0471;-0.7278;
258616274574200;0.0176;-0.0557;-0.7587;
258616279621961;0.0176;-0.0652;-0.7895;
258616284669721;0.0154;-0.0599;-0.8140;
258616289717482;0.0176;-0.0589;-0.8438;
258616294765242;0.0133;-0.0748;-0.8747;
