Sensor: bmi160 Gyroscope Non-wakeup
Vendor: BOSCH
TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
83888711506382;0.3057;0.2254;0.0104;
83888721609715;0.3047;0.1636;0.0072;
83888731713049;0.3345;0.0987;0.0232;
83888741929872;0.3206;-0.0238;0.0754;
83888752033205;0.3217;-0.1728;0.0732;
83888762136486;0.3185;-0.2602;0.0891;
83888772192840;0.2557;0.0039;0.0455;
83888782296226;0.3728;-0.0292;0.0242;
83888792379455;0.3377;-0.1121;0.1019;
83888802482788;0.2770;0.1264;0.1189;
83888812586122;0.4249;0.0220;0.1498;
83888822711070;0.3015;-0.0780;0.1807;
83888832814403;0.2375;0.1466;0.0944;
83888842917736;0.2929;0.2947;0.1221;
83888853026174;0.3739;0.2734;0.1562;
83888863129559;0.2834;0.2616;0.1850;
83888873232840;0.2269;0.1189;0.2116;
83888883362215;0.2088;0.0635;0.1210;
83888893465549;0.1630;0.1402;0.0242;
83888903568882;0.1651;-0.0567;0.0370;
83888913675653;0.1427;-0.1835;0.0891;
83888923778986;0.0352;-0.2133;0.2467;
83888933882320;0.0415;-0.3965;0.2755;
83888944014403;0.0128;-0.2016;0.2350;
83888954117788;-0.3429;0.2925;0.1881;
83888964221070;-0.4047;0.5088;0.1764;
83888974313570;0.1044;0.3394;0.1285;
83888984416903;0.1662;-0.0111;0.1573;
83888994520236;-0.3312;-0.1920;0.1839;
83889004631174;-0.4569;-0.3582;0.1402;
83889014734507;-0.4121;-0.5712;0.1125;
83889024837840;-0.3770;-0.4594;0.0509;
83889034946070;-0.3727;-0.0036;-0.0439;
83889045049403;-0.4792;0.1189;-0.1111;
83889055152788;-0.1502;-0.1537;-0.1462;
83889065259924;0.0075;-0.0068;-0.1185;
83889075363257;-0.1875;-0.1356;-0.1292;
83889085466590;-0.0692;-0.2133;-0.1888;
83889095573882;0.1161;0.0869;-0.2985;
83889105677215;0.2056;0.1924;-0.2676;
83889115780549;0.2876;0.1519;-0.1931;
83889125896643;0.3089;-0.0132;-0.1366;
83889135999976;0.2961;-0.2527;-0.1004;
83889146103257;0.1566;-0.1057;-0.0802;
83889156217320;0.0937;0.1668;-0.1217;
83889166320653;0.1502;-0.0228;-0.1025;
83889176423934;0.1342;-0.1654;-0.0802;
83889186526903;0.0021;-0.2762;-0.0684;
83889196630236;-0.1118;-0.3763;-0.1142;
83889206733570;-0.0948;0.0305;-0.0770;
83889216834559;-0.2150;0.4310;-0.1004;
83889226937893;-0.1640;0.3799;-0.1068;
83889237041226;0.1630;0.2467;-0.0812;
83889247164768;0.0863;0.0976;-0.0471;
83889257268101;-0.0511;-0.0111;-0.0450;
83889267371434;-0.1108;0.0486;-0.0855;
83889277492111;-0.1715;-0.0919;-0.0929;
83889287595445;-0.1268;-0.1856;-0.0961;
83889297698726;-0.0394;-0.0345;-0.1398;
83889307798674;-0.0660;-0.0206;-0.2059;
83889317902007;0.0533;0.0060;-0.2399;
83889328005340;0.1150;0.1093;-0.2144;
83889338105653;0.0810;-0.0451;-0.1664;
83889348208986;0.2045;-0.1249;-0.1867;
83889358312320;0.1854;-0.0535;-0.1483;
83889368433361;0.1640;-0.0121;-0.1814;
83889378536695;0.3334;-0.0620;-0.1569;
83889388640028;0.3387;-0.0557;-0.1249;
83889398760236;0.3228;0.0103;-0.0834;
83889408863570;0.3355;0.0614;-0.0631;
83889418966903;0.3302;0.1008;-0.0855;
83889429060340;0.2951;0.0656;-0.0461;
83889439163674;0.2748;0.0433;-0.0194;
83889449267007;0.1672;0.0550;-0.0344;
83889459369924;0.0767;0.0944;-0.0301;
83889469473257;0.1225;0.0997;-0.0290;
83889479576590;0.1342;0.1370;0.0178;
83889489712580;0.1374;0.0230;0.0093;
83889499815913;0.0842;-0.0313;-0.0024;
83889509919247;0.0884;-0.0770;0.0019;
83889520007215;0.0501;-0.1707;0.0306;
83889530110549;0.0426;-0.0887;-0.0056;
83889540213882;0.0895;0.0561;-0.0557;
83889550340913;0.1353;0.0667;-0.0237;
83889560444247;0.1672;0.0880;-0.0099;
83889570547580;0.1672;-0.0589;0.0083;
83889580660757;0.1768;-0.0780;-0.0077;
83889590764090;0.1182;0.1306;0.0051;
83889600867424;0.1363;0.1242;-0.0333;
83889610971486;0.1768;-0.0684;-0.0120;
83889621074820;0.3142;-0.0834;0.0381;
83889631178153;0.4387;0.0262;0.0157;
