TimestampAcc [ns];Metric
83484073820172.0;2.749648798307343
83484083926526.0;2.753232036237295
83484094015276.0;2.756814136427215
83484104121631.0;2.760395096813982
83484114227985.0;2.7639749153405924
83484124326214.0;2.7675535899561265
83484134432568.0;2.7711311186157155
83484144538922.0;2.7747074992805065
83484154665381.0;2.77828272991763
83484164771735.0;2.7818568085001627
83484174878089.0;2.7854297330070943
83484184968089.0;2.789001501423288
83484195074443.0;2.7925721117394446
83484205180797.0;2.796141561952068
83484215278297.0;2.7997098500634334
83484225384651.0;2.8032769740815486
83484235491006.0;2.8068429320201185
83484245612464.0;2.8104077218985077
83484255718818.0;2.813971341741703
83484265825172.0;2.8175337895802803
83484275924860.0;2.8210950634503673
83484286031214.0;2.8246551613936086
83484296137568.0;2.828214081457131
83484306244860.0;2.8317718216935086
