Sensor: mmc5603x Magnetometer Non-wakeup
Vendor: memsic
TimestampMag [ns]; MagX [uT]; MagY [uT]; MagZ [uT]
2027917788631;47.0432;14.2740;15.0304;
2027927788631;47.2750;14.3472;14.7010;
2027937788631;47.3482;14.4204;14.5668;
2027947788631;47.2506;14.5424;14.5302;
2027957788631;47.2506;14.6156;14.4936;
2027967788631;47.2872;14.6644;14.3472;
2027977788631;47.3116;14.7254;14.2984;
2027987788631;47.2872;14.7498;14.1886;
2027997788631;47.2018;14.7986;14.2618;
2028007788631;47.0554;14.8474;14.4326;
2028017788631;47.0066;14.8596;14.4692;
2028027788631;46.9822;14.8352;14.4936;
2028037788631;46.9334;14.7742;14.4936;
2028047788631;46.9700;14.7376;14.5180;
2028057788631;46.9944;14.6766;14.4814;
2028067788631;46.9334;14.6522;14.6644;
2028077788631;46.9944;14.5790;14.6644;
2028087788631;46.9944;14.5302;14.6400;
2028097788631;47.0188;14.4936;14.6644;
2028107788631;46.9456;14.4692;14.7620;
2028117788631;46.8358;14.4570;14.9816;
2028127788631;46.7382;14.4204;15.1524;
2028137788631;46.6528;14.4326;15.2134;
2028147788631;46.6162;14.4326;15.3110;
2028157788631;46.4332;14.5058;15.3720;
2028167788631;46.3112;14.4692;15.4574;
2028177788631;46.1770;14.4814;15.5062;
2028187788631;46.1526;14.5180;15.3964;
2028197788631;46.2624;14.5302;15.1768;
2028207788631;46.2136;14.5668;15.1036;
2028217788631;46.2502;14.5912;15.0914;
2028227788631;46.2746;14.6034;15.0304;
2028237788631;46.4698;14.6278;14.9084;
2028247788631;46.6772;14.7010;14.6888;
2028257788631;46.8358;14.7010;14.5058;
2028267788631;46.9334;14.6522;14.4326;
2028277788631;47.0066;14.6278;14.3960;
2028287788631;47.1530;14.5668;14.4082;
2028297788631;47.2018;14.4936;14.3594;
2028307788631;47.2140;14.4570;14.2618;
2028317788631;47.1652;14.3106;14.2374;
2028327788631;47.2140;14.1886;14.2618;
2028337788631;47.2506;14.0788;14.3838;
2028347788631;47.3238;13.9446;14.5058;
2028357788631;47.2872;13.8348;14.6400;
2028367788631;47.2018;13.7372;14.6888;
2028377788631;47.0066;13.6396;15.0182;
2028387788631;46.8724;13.4810;15.3964;
2028397788631;46.7626;13.3834;15.7868;
2028407788631;46.6528;13.2126;16.0064;
2028417788631;46.3844;13.1028;16.3846;
2028427788631;46.1404;13.0174;16.8360;
2028437788631;45.9452;12.8710;17.2630;
2028447788631;45.8354;12.7612;17.5802;
2028457788631;46.0306;12.6636;17.4826;
2028467788631;46.2624;12.5660;17.3728;
2028477788631;46.3356;12.5294;17.3362;
2028487788631;46.2014;12.4928;17.6046;
2028497788631;46.2868;12.4440;17.6778;
2028507788631;46.4210;12.3952;17.5680;
2028517788631;46.6040;12.4074;17.3606;
2028527788631;46.7016;12.3708;17.2508;
2028537788631;46.7016;12.3342;17.2874;
2028547788631;46.6040;12.3708;17.3728;
2028557788631;46.7382;12.3586;17.2386;
2028567788631;46.7992;12.3708;17.2508;
2028577788631;46.8358;12.3708;17.1044;
2028587788631;46.8846;12.3708;17.0312;
2028597788631;46.8114;12.3952;17.0312;
2028607788631;46.7748;12.3952;17.0434;
2028617788631;46.7016;12.4074;17.0800;
2028627788631;46.6894;12.4074;17.0312;
2028637788631;46.5674;12.4196;17.1776;
2028647788631;46.5064;12.4684;17.1166;
2028657788631;46.3112;12.4562;17.1776;
2028667788631;46.1770;12.4806;17.2508;
2028677788631;46.0672;12.5050;17.3240;
2028687788631;45.8964;12.5660;17.5192;
2028697788631;45.7500;12.6392;17.7754;
2028707788631;45.5792;12.6514;17.9950;
2028717788631;45.4206;12.6758;18.1902;
2028727788631;45.2986;12.6636;18.3854;
2028737788631;45.2986;12.7734;18.5196;
2028747788631;45.2376;12.8100;18.6172;
2028757788631;45.2376;12.8588;18.7026;
2028767788631;45.2986;12.9076;18.6904;
2028777788631;45.2986;12.9320;18.6050;
2028787788631;45.4084;12.9808;18.4464;
2028797788631;45.5426;13.0662;18.1780;
2028807788631;45.6646;13.1272;17.9950;
2028817788631;45.7866;13.1760;17.8730;
2028827788631;45.8720;13.2614;17.7632;
2028837788631;46.0306;13.2980;17.6412;
2028847788631;46.0428;13.3468;17.6290;
2028857788631;46.0672;13.3956;17.5558;
2028867788631;45.9940;13.4200;17.6900;
2028877788631;45.8720;13.4444;17.8486;
2028887788631;45.8598;13.4810;17.8486;
2028897788631;45.7866;13.4932;17.8486;
2028907788631;45.7012;13.4932;17.9706;
2028917788631;45.5914;13.4810;18.0438;
2028927788631;45.5792;13.4566;18.0072;
2028937788631;45.5792;13.4200;18.0316;
2028947788631;45.5914;13.3956;18.0072;
2028957788631;45.6768;13.3590;17.9706;
2028967788631;45.7012;13.3346;17.9340;
2028977788631;45.7256;13.2614;17.9584;
2028987788631;45.7988;13.2004;17.7998;
2028997788631;45.9086;13.1760;17.7144;
2029007788631;46.0916;13.1394;17.5314;
2029017788631;46.2502;13.0784;17.4582;
2029027788631;46.3112;13.0174;17.4216;
2029037788631;46.3234;12.9930;17.4338;
2029047788631;46.4576;12.9564;17.4460;
2029057788631;46.4942;12.9076;17.4460;
2029067788631;46.5308;12.8222;17.5680;
2029077788631;46.4088;12.7368;17.7632;
2029087788631;46.1648;12.6880;18.1414;
2029097788631;46.0062;12.6758;18.3000;
2029107788631;45.9574;12.6758;18.3976;
2029117788631;45.9452;12.6636;18.3976;
2029127788631;45.8110;12.6270;18.4342;
2029137788631;45.7622;12.6758;18.5562;
2029147788631;45.6036;12.7856;18.6660;
2029157788631;45.5182;12.8954;18.6904;
2029167788631;45.3352;13.0052;18.8246;
2029177788631;45.9452;17.3606;19.7030;
2029187788631;45.6402;17.4826;19.9470;
2029197788631;45.2620;17.5680;20.2886;
2029207788631;44.9814;17.6900;20.6058;
2029217788631;44.7496;17.8120;20.7766;
2029227788631;44.6764;17.9828;20.8132;
2029237788631;44.5666;18.1658;20.8620;
2029247788631;44.5910;18.3122;20.7278;
2029257788631;44.6764;18.4708;20.6790;
2029267788631;44.8838;18.6660;20.4106;
2029277788631;45.0424;18.8856;20.1788;
2029287788631;45.0912;19.0930;20.0568;
2029297788631;45.1156;19.2760;19.8372;
2029307788631;45.1522;19.3614;19.7396;
2029317788631;45.0180;19.4956;19.8250;
2029327788631;45.0790;19.6054;19.7274;
2029337788631;45.0302;19.7274;19.7274;
2029347788631;44.8960;19.8006;19.7274;
2029357788631;45.0424;19.9348;19.4834;
2029367788631;45.2132;20.0690;19.1540;
2029377788631;45.2254;20.1788;19.1418;
2029387788631;45.2010;20.3618;19.1174;
2029397788631;45.3352;20.4228;18.8490;
2029407788631;45.2254;20.5204;18.8490;
2029417788631;45.2254;20.5692;18.8246;
2029427788631;45.2620;20.6302;18.8124;
2029437788631;45.1278;20.6546;18.9954;
2029447788631;44.8594;20.6424;19.2882;
2029457788631;44.8716;20.6668;19.2272;
2029467788631;44.8716;20.6546;19.2272;
2029477788631;44.9082;20.6912;19.1174;
2029487788631;45.1278;20.7522;18.9344;
2029497788631;45.1644;20.8010;18.8246;
2029507788631;45.2254;20.8376;18.6904;
2029517788631;45.2620;20.8376;18.5196;
2029527788631;45.4450;20.9108;18.2756;
2029537788631;45.4938;20.9230;18.2512;
2029547788631;45.5060;20.9474;18.2146;
2029557788631;45.4816;20.9962;18.1780;
2029567788631;45.4084;20.9962;18.0804;
2029577788631;45.3840;21.0450;18.0072;
2029587788631;45.3840;21.0694;18.0316;
2029597788631;45.3230;21.0816;18.1292;
2029607788631;45.2132;21.0938;18.1780;
2029617788631;45.1278;21.1182;18.1902;
2029627788631;45.0302;21.1670;18.1780;
2029637788631;44.9814;21.2158;18.2756;
2029647788631;44.9692;21.2402;18.2390;
2029657788631;44.9936;21.2524;18.2024;
2029667788631;44.9692;21.2890;18.1658;
2029677788631;44.9814;21.3500;18.0316;
2029687788631;45.0668;21.4476;17.9462;
2029697788631;45.0668;21.5086;17.8486;
2029707788631;45.2498;21.5696;17.6168;
2029717788631;45.4816;21.6184;17.2874;
2029727788631;45.6768;21.7404;17.0068;
2029737788631;45.8232;21.8014;16.7384;
2029747788631;45.9452;21.8868;16.5066;
2029757788631;45.9940;21.9478;16.4700;
2029767788631;46.0550;21.9478;16.3480;
2029777788631;46.1770;21.9356;16.1772;
2029787788631;46.2136;21.8868;16.0552;
2029797788631;46.1526;21.8258;16.1528;
2029807788631;45.9696;21.7404;16.4456;
2029817788631;45.8354;21.6794;16.6408;
2029827788631;45.7378;21.5940;16.8116;
2029837788631;45.7256;21.4964;16.8116;
2029847788631;45.7378;21.4110;16.8360;
2029857788631;45.7622;21.3500;16.9214;
2029867788631;45.7134;21.3012;17.0556;
2029877788631;45.7134;21.1792;17.1288;
2029887788631;45.8110;21.0816;17.1410;
2029897788631;45.8964;20.9718;17.1288;
2029907788631;45.9208;20.8742;17.1288;
2029917788631;45.9940;20.7766;17.1166;
2029927788631;46.1160;20.6790;17.0434;
2029937788631;46.2502;20.5326;16.8238;
2029947788631;46.3234;20.3740;16.6896;
2029957788631;46.2258;20.2398;16.5188;
2029967788631;46.3356;20.0812;16.2748;
2029977788631;46.3966;19.8860;16.0186;
2029987788631;46.5796;19.7762;15.7014;
2029997788631;46.6772;19.6786;15.5794;
2030007788631;46.7016;19.5810;15.4818;
2030017788631;46.8846;19.5444;15.3476;
2030027788631;47.1530;20.5814;15.4330;
2030037788631;47.4214;20.5936;15.4574;
2030047788631;47.4580;20.6058;15.4940;
2030057788631;47.4946;20.6668;15.7136;
2030067788631;47.5068;20.6668;15.8600;
2030077788631;47.5312;20.6424;15.8356;
2030087788631;47.6166;20.6302;15.9332;
2030097788631;47.5434;20.6546;16.0552;
2030107788631;47.6044;20.6058;16.0308;
2030117788631;47.6654;20.5936;16.0918;
2030127788631;47.6532;20.5448;16.1650;
2030137788631;47.6532;20.4838;16.1894;
2030147788631;47.6654;20.4472;16.2504;
2030157788631;47.6898;20.3984;16.2992;
2030167788631;47.5922;20.3374;16.3114;
2030177788631;47.4458;20.2398;16.4700;
2030187788631;47.2994;20.2276;16.6896;
2030197788631;47.1286;20.1788;16.7018;
2030207788631;47.0676;20.1666;16.7506;
2030217788631;47.1286;20.1300;16.6286;
2030227788631;47.1042;20.0690;16.5432;
2030237788631;47.1164;20.0446;16.5066;
2030247788631;47.1286;20.0080;16.5554;
2030257788631;47.1286;19.9836;16.5798;
2030267788631;47.1652;19.9104;16.6042;
2030277788631;47.1286;19.8982;16.7140;
2030287788631;47.1530;19.8372;16.7994;
2030297788631;47.1408;19.8738;16.9580;
2030307788631;47.1408;19.9104;17.0068;
2030317788631;47.1408;19.9104;17.0556;
2030327788631;47.2628;19.9592;16.9214;
2030337788631;47.3360;19.9470;16.8604;
2030347788631;47.3726;19.9958;16.7506;
2030357788631;47.4580;19.9714;16.6408;
2030367788631;47.6288;20.0568;16.4334;
2030377788631;47.7630;20.0934;16.2382;
2030387788631;47.8972;20.1300;16.1284;
2030397788631;47.9094;20.1788;16.1772;
2030407788631;47.8362;20.2032;16.2138;
2030417788631;47.9948;20.2764;16.1528;
2030427788631;48.0680;20.3496;16.0674;
2030437788631;48.1656;20.4594;15.9332;
2030447788631;48.1168;20.5082;16.0552;
2030457788631;47.9094;20.5936;16.3114;
2030467788631;47.7996;20.6302;16.3480;
2030477788631;47.7630;20.7034;16.3968;
2030487788631;47.8606;20.7888;16.3358;
2030497788631;47.7386;20.8864;16.4334;
2030507788631;47.6898;20.9230;16.5432;
2030517788631;47.6532;21.0206;16.6530;
2030527788631;47.6410;21.1304;16.5554;
2030537788631;47.8240;21.1914;16.3236;
2030547788631;47.7752;21.2646;16.3724;
2030557788631;47.7142;21.2768;16.3968;
2030567788631;47.5068;21.3134;16.5920;
2030577788631;47.4458;21.3622;16.5432;
2030587788631;47.3360;21.4232;16.5066;
2030597788631;47.0554;21.5086;16.7262;
2030607788631;46.7138;22.5944;16.9336;
2030617788631;46.4332;22.6188;17.0922;
2030627788631;46.2746;22.6676;17.1166;
2030637788631;46.2258;22.7652;17.1044;
2030647788631;46.2014;22.8384;17.0922;
2030657788631;46.1648;22.8872;17.0190;
2030667788631;46.2014;22.9848;17.0068;
2030677788631;46.3844;22.9604;16.7140;
2030687788631;46.4942;22.9116;16.6164;
2030697788631;46.6284;22.8994;16.6042;
2030707788631;46.7504;22.9116;16.5676;
2030717788631;46.8358;22.9116;16.4212;
2030727788631;46.8968;22.9116;16.3846;
2030737788631;47.0066;22.9116;16.4090;
2030747788631;46.9578;22.8384;16.5432;
2030757788631;46.9944;22.8384;16.6774;
2030767788631;47.1042;22.8750;16.6652;
2030777788631;47.1286;22.8872;16.6774;
2030787788631;47.1774;22.8750;16.7994;
2030797788631;47.2262;22.8750;16.8970;
2030807788631;47.4214;22.8506;16.8116;
2030817788631;47.4702;22.8750;16.8848;
2030827788631;47.7142;22.8994;16.7750;
2030837788631;47.7752;22.8628;16.8360;
2030847788631;47.7752;22.8750;16.9458;
2030857788631;47.9704;22.8872;16.8116;
2030867788631;48.1412;22.9238;16.6652;
2030877788631;48.2632;22.8994;16.6652;
2030887788631;48.3120;22.8994;16.6896;
2030897788631;48.3608;22.8628;16.5920;
2030907788631;48.4340;22.7896;16.5066;
2030917788631;48.6170;23.0214;16.3480;
2030927788631;48.6780;22.9238;16.2748;
2030937788631;48.5926;22.8018;16.4822;
2030947788631;48.4706;22.6554;16.5920;
2030957788631;48.4828;22.5334;16.6286;
2030967788631;48.3974;22.3504;16.7628;
2030977788631;48.3730;22.1430;16.8238;
2030987788631;48.2876;21.9844;17.0190;
2030997788631;48.1778;21.8258;17.2142;
2031007788631;48.1656;21.7038;17.2874;
2031017788631;48.2022;21.5818;17.2264;
2031027788631;48.2266;21.4964;17.3484;
2031037788631;48.1900;21.4354;17.3972;
2031047788631;48.2022;21.4476;17.4582;
2031057788631;48.1900;21.4842;17.6412;
2031067788631;48.1290;21.5330;17.7266;
2031077788631;48.0436;21.5940;17.8608;
2031087788631;47.9826;21.6916;17.9706;
2031097788631;47.8362;21.8014;18.1780;
2031107788631;47.7264;21.9966;18.2390;
2031117788631;47.6532;22.0820;18.2756;
2031127788631;47.5678;22.1308;18.2268;
2031137788631;47.3970;22.1430;18.3000;
2031147788631;47.3238;22.1918;18.3854;
2031157788631;47.1530;22.2040;18.4830;
2031167788631;47.0066;22.1918;18.5806;
2031177788631;46.8846;22.1918;18.6050;
2031187788631;46.7992;22.2284;18.6904;
2031197788631;46.6772;22.2406;18.7758;
2031207788631;46.4942;22.2772;18.8490;
2031217788631;46.5064;22.4114;18.7636;
2031227788631;46.4088;22.4724;18.7636;
2031237788631;46.3966;22.5456;18.8124;
